"Does the following tweet have positive sentiment to the Twitter company ? 
Tried explaining #Twitter to my mom, but her ""why would you want to do that?"" argument was pretty bulletproof. #igiveup","[""yes"", ""no""]"
"Does the following tweet have positive sentiment to the Microsoft company ? 
Really hate the #Microsoft #mcp site","[""yes"", ""no""]"
"Does the following tweet have positive sentiment to the Twitter company ? 
@Licia0321 Damn what the hell, I think my #Twitter might need a damn #Exorcist!!","[""yes"", ""no""]"
"Does the following tweet have positive sentiment to the Apple company ? 
Been off twitter for a few days as I smashed my iPhone but @apple were very nice and gave me a new one :)","[""yes"", ""no""]"
"Does the following tweet have positive sentiment to the Google company ? 
Presentation fail. #Google #Samsung","[""yes"", ""no""]"
"Does the following tweet have positive sentiment to the Twitter company ? 
Apples to oranges maybe, but #Twitter is way more engaging than #FB. Content vs. Stalkerismo","[""yes"", ""no""]"
"Does the following tweet have positive sentiment to the Microsoft company ? 
#Microsoft Lync crash issue on #Mac OS X 10.7.2 [Fixed] - http://t.co/rzucFejc","[""yes"", ""no""]"
"Does the following tweet have positive sentiment to the Apple company ?
@apple took my Siri and made it exclusive to iPhone 4S  #SoRude","[""yes"", ""no""]"
"Does the following tweet have positive sentiment to the Apple company ? 
@bkad5161 than apologize to @apple ;)","[""yes"", ""no""]"
"Does the following tweet have positive sentiment to the Apple company ? 
Smashed yet another #iPhone screen. When are @apple gonna make the phone more durable!!! Tired of fixing it myself!!!","[""yes"", ""no""]"
"Does the following tweet have positive sentiment to the Apple company ? 
@apple  why don't you guys test your upgrades before you put them out. 15 1/2 hrs u guys wasted of my time yesterday. Thanks.","[""yes"", ""no""]"
"Does the following tweet have positive sentiment to the Apple company ?
Amazing new @Apple iOs 5 feature.  http://t.co/jatFVfpM","[""yes"", ""no""]"
"Does the following tweet have positive sentiment to the Twitter company ? 
#stupid fucking #Twitter #Twitterapp give me my Damn #mentions NOOWWWWWW!!!!! UGH! #DRAWLIN AS ALWAYS #TMW #PROMOALLDAY #FOLLOWLIMITISGAY TO","[""yes"", ""no""]"
"Does the following tweet have positive sentiment to the Apple company ? 
@Apple #iOS5 NONSTOP DROPPED CALLS&MUTE BUTTON RANDOMLY ACTIVATING&PERSON CANT HEAR ME, PULL PHONE FROM EAR TO BE ON A ""MOBILE ME"" SCREEN","[""yes"", ""no""]"
"Does the following tweet have positive sentiment to the Google company ? 
Ice Cream Sandwich's Face Unlock really works! http://t.co/2SjN2BzZ #icecreamsandwich #google #galaxynexus","[""yes"", ""no""]"
