pic1,"{""img"": ""https://ai233.ml/static/data/00.jpg"", ""choices"": [""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""0""]}"
pic2,"{""img"": ""https://ai233.ml/static/data/1.jpg"", ""choices"": [""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""0""]}"
pic3,"{""img"": ""https://ai233.ml/static/data/2.jpg"", ""choices"": [""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""0""]}"
pic4,"{""img"": ""https://ai233.ml/static/data/3.jpg"", ""choices"": [""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""0""]}"
pic5,"{""img"": ""https://ai233.ml/static/data/4.jpg"", ""choices"": [""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""0""]}"
pic6,"{""img"": ""https://ai233.ml/static/data/5.jpg"", ""choices"": [""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""0""]}"
pic7,"{""img"": ""https://ai233.ml/static/data/6.jpg"", ""choices"": [""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""0""]}"
pic8,"{""img"": ""https://ai233.ml/static/data/7.jpg"", ""choices"": [""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""0""]}"
pic9,"{""img"": ""https://ai233.ml/static/data/8.jpg"", ""choices"": [""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""0""]}"
pic10,"{""img"": ""https://ai233.ml/static/data/9.jpg"", ""choices"": [""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""0""]}"
